fairness,alpha,method,lambda,n,reg_norm_m,reg_norm_s,fair_m,fair_s,mse_m
mad,2.0,fpto,0.5,5,0.1522,0.0025,22.0956,0.7986,135.3111
mad,2.0,fpto,1.0,5,0.153,0.002,20.9871,0.5934,133.7947
mad,2.0,fpto,2.0,5,0.1582,0.0018,17.4002,3.3771,145.6373
mad,2.0,mgda,0.0,5,0.1314,0.0007,27.3718,2.1392,168.6158
mad,2.0,nashmtl,0.0,5,0.1279,0.0019,25.8725,0.9271,125.8647
mad,2.0,pcgrad,0.0,5,0.1332,0.0035,25.6513,2.2747,137.55
mad,2.0,pto,0.0,5,0.1534,0.0033,23.9377,1.3727,140.1245
mad,2.0,saa,0.0,5,0.2795,0.0024,58.4983,3.6469,249.1728
mad,2.0,wdro,0.0,5,0.1542,0.0033,24.4226,1.4617,142.101
wasserstein2_dp,0.5,cagrad,0.0,5,0.1299,0.0278,11.5018,16.4895,326.0007
wasserstein2_dp,0.5,dfl,0.0,5,0.0894,0.0008,106147.8911,80518.3661,1214450.5703
wasserstein2_dp,0.5,fdfl,0.0,5,0.0894,0.0008,106147.8911,80518.3661,1214450.5703
wasserstein2_dp,0.5,fdfl,0.5,5,0.0925,0.0018,146.5454,63.8284,3243.5466
wasserstein2_dp,0.5,fdfl,1.0,5,0.2008,0.2342,188.3,205.6225,7621.6188
wasserstein2_dp,0.5,fdfl,2.0,5,0.1104,0.0249,245.7125,129.0554,19545.4669
wasserstein2_dp,0.5,fdfl-0.1,0.0,5,0.0888,0.0006,22.5571,9.2059,129.0727
wasserstein2_dp,0.5,fdfl-0.1,0.5,5,0.0885,0.001,16.3341,3.959,128.6221
wasserstein2_dp,0.5,fdfl-0.1,1.0,5,0.0893,0.0011,15.7867,6.1346,129.3712
wasserstein2_dp,0.5,fdfl-0.1,2.0,5,0.0892,0.0007,10.3778,4.9819,130.8627
wasserstein2_dp,0.5,fdfl-0.5,0.0,5,0.0898,0.0006,12.4722,3.0175,125.381
wasserstein2_dp,0.5,fdfl-0.5,0.5,5,0.0902,0.0011,10.4436,3.5716,126.3336
wasserstein2_dp,0.5,fdfl-0.5,1.0,5,0.0902,0.0007,8.803,2.6259,126.7761
wasserstein2_dp,0.5,fdfl-0.5,2.0,5,0.0909,0.0012,6.4956,2.6271,128.8836
wasserstein2_dp,0.5,fdfl-scal,0.0,5,0.09,0.0006,37.0881,6.4013,137.9552
wasserstein2_dp,0.5,fdfl-scal,0.5,5,0.09,0.0006,32.2353,6.2455,136.5985
wasserstein2_dp,0.5,fdfl-scal,1.0,5,0.0898,0.0004,28.9521,6.1272,135.6281
wasserstein2_dp,0.5,fdfl-scal,2.0,5,0.0897,0.0008,24.2264,5.5854,134.3553
wasserstein2_dp,0.5,fdfl-scal-mu2,0.0,5,0.0977,0.0048,12.2787,20.4488,159.9328
wasserstein2_dp,0.5,fdfl-scal-mu2,0.5,5,0.0973,0.0067,16.9843,20.9964,159.1739
wasserstein2_dp,0.5,fdfl-scal-mu2,1.0,5,0.0966,0.0067,10.3646,11.7683,150.65
wasserstein2_dp,0.5,fdfl-scal-mu2,2.0,5,0.0948,0.0051,8.9565,8.2435,146.7376
wasserstein2_dp,0.5,fplg,0.0,5,0.0886,0.0008,23.5783,5.3838,127.2856
wasserstein2_dp,0.5,fplg,0.5,5,0.0878,0.0011,17.9516,4.5721,125.6435
wasserstein2_dp,0.5,fplg,1.0,5,0.0881,0.0012,14.7624,4.5424,124.9693
wasserstein2_dp,0.5,fplg,2.0,5,0.0886,0.0012,11.0645,4.0935,124.5237
wasserstein2_dp,0.5,fpto,0.0,5,0.1007,0.0014,27.8679,3.611,140.1245
wasserstein2_dp,0.5,fpto,0.5,5,0.1027,0.0013,11.5252,2.0799,142.0636
wasserstein2_dp,0.5,fpto,1.0,5,0.1042,0.0014,6.6705,1.3253,144.5033
wasserstein2_dp,0.5,fpto,2.0,5,0.1059,0.0014,3.7038,1.082,147.7193
wasserstein2_dp,0.5,mgda,0.0,5,0.1156,0.0368,20.4037,27.4806,230.1487
wasserstein2_dp,0.5,nashmtl,0.0,5,0.0896,0.001,44.7054,17.3455,158.6624
wasserstein2_dp,0.5,pcgrad,0.0,5,0.1464,0.0183,12.0363,16.0318,1062.9225
wasserstein2_dp,0.5,pto,0.0,5,0.1007,0.0014,27.8679,3.611,140.1245
wasserstein2_dp,0.5,saa,0.0,5,0.1496,0.0001,0.0,0.0,249.1728
wasserstein2_dp,0.5,wdro,0.0,5,0.1011,0.0014,28.6594,3.6705,142.101
