method,fairness,alpha,lambda,n_seeds,source,test_regret_normalized_mean,test_regret_normalized_std,test_fairness_mean,test_fairness_std,test_pred_mse_mean,test_pred_mse_std
fdfl-scal,bias_parity,0.5,0.5,5,main_per_cell,0.07486381259510708,0.001292805162089625,2.523857475368386,0.06612173458459228,396.08660614985234,5.584051282884443
fdfl-scal,bias_parity,0.5,1.0,5,main_per_cell,0.07478261085487052,0.0012969998242460005,2.5235663869523894,0.06612033231554944,396.047193554858,5.588773420981506
fdfl-scal,bias_parity,0.5,2.0,5,main_per_cell,0.07461925391462063,0.0013071027775044795,2.522972354334837,0.06611608483251397,395.9665981303001,5.598944820729491
fdfl-scal,bias_parity,2.0,0.0,5,main_per_cell,0.13065094296849578,0.0019382704250540787,0.7942915448967449,0.09362955146413064,120.20182930480372,1.166226591311554
fdfl-scal,bias_parity,2.0,0.5,5,main_per_cell,0.13061452833544007,0.00193529045779824,0.7783512032968958,0.0933075392670881,120.22580723396935,1.1568719899473314
fdfl-scal,bias_parity,2.0,1.0,5,main_per_cell,0.13058123287913515,0.0019346350473909472,0.7622161234396113,0.0935397153270736,120.25347315023257,1.1462300760569046
fdfl-scal,bias_parity,2.0,2.0,5,main_per_cell,0.1305208878219739,0.0019318861648700727,0.7298176765197376,0.09394460777683317,120.32085697423457,1.1288901069324486
fdfl-scal,dp,0.5,0.0,5,main_per_cell,0.07494470426710352,0.0012891773565234727,0.0033357671371031503,0.002943886415781958,396.1254465416897,5.579557705504843
fdfl-scal,dp,0.5,0.5,5,main_per_cell,0.07495624169284151,0.0012233891515128885,0.00315922022847735,0.0028110216064974273,396.1331613790346,5.574225422265607
fdfl-scal,dp,0.5,1.0,5,main_per_cell,0.0749685736804821,0.0011591083651300816,0.0029879920189826927,0.002682927802225017,396.1409560770702,5.569303097030277
fdfl-scal,dp,0.5,2.0,5,main_per_cell,0.0749954060636699,0.0010365473778595749,0.002669922171156307,0.00243450899015827,396.1567285051258,5.560203286795072
